longitude,latitude
41.4924,43.0826
41.4924,43.0826
41.5280,43.0655
41.5636,43.0484
41.5992,43.0313
41.5992,43.0313
41.6347,43.0142
41.6703,42.9970
41.7058,42.9799
41.7058,42.9799
41.7413,42.9627
41.7768,42.9456
41.7768,42.9456
41.8123,42.9284
41.8477,42.9112
41.8831,42.8940
41.8831,42.8940
41.9184,42.8768
41.9538,42.8595
41.9892,42.8423
41.9892,42.8423
42.0245,42.8250
42.0598,42.8077
42.0951,42.7904
42.0951,42.7904
42.1304,42.7731
42.1656,42.7558
42.2008,42.7385
42.2008,42.7385
42.2360,42.7212
42.2712,42.7038
42.3063,42.6865
42.3063,42.6865
42.3415,42.6691
42.3766,42.6517
42.3766,42.6517
42.4117,42.6343
42.4468,42.6169
42.4818,42.5995
42.4818,42.5995
42.5168,42.5821
42.5519,42.5646
42.5868,42.5472
42.5868,42.5472
42.6218,42.5297
42.6568,42.5122
42.6917,42.4947
42.6917,42.4947
42.7266,42.4772
42.7615,42.4597
42.7964,42.4422
42.7964,42.4422
42.8312,42.4246
42.8660,42.4071
42.9008,42.3895
42.9008,42.3895
42.9356,42.3720
42.9704,42.3544
43.0051,42.3368
43.0051,42.3368
43.0398,42.3192
43.0745,42.3015
43.1092,42.2839
43.1092,42.2839
43.1438,42.2663
43.1785,42.2486
43.1785,42.2486
43.2131,42.2310
43.2477,42.2133
43.2823,42.1956
43.3168,42.1779
43.3168,42.1779
43.3513,42.1602
43.3859,42.1424
43.3859,42.1424
43.4204,42.1247
43.4548,42.1070
43.4893,42.0892
43.4893,42.0892
43.5237,42.0714
43.5581,42.0537
43.5925,42.0359
43.5925,42.0359
43.6268,42.0181
43.6612,42.0002
43.6955,41.9824
43.6955,41.9824
43.7298,41.9646
43.7642,41.9467
43.7984,41.9288
43.7984,41.9288
43.8327,41.9110
43.8669,41.8931
43.9011,41.8752
43.9011,41.8752
43.9353,41.8573
43.9695,41.8393
43.9695,41.8393
44.0036,41.8214
44.0377,41.8035
44.0718,41.7855
44.0718,41.7855
44.1059,41.7676
44.1399,41.7496
44.1740,41.7316
44.1740,41.7316
44.2080,41.7136
44.2420,41.6956
44.2760,41.6776
44.2760,41.6776
44.3099,41.6596
44.3439,41.6415
44.3778,41.6235
44.3778,41.6235
44.4117,41.6054
44.4456,41.5873
44.4794,41.5692
44.4794,41.5692
44.5132,41.5511
44.5471,41.5330
44.5809,41.5149
44.5809,41.5149
44.6146,41.4968
44.6484,41.4786
44.6484,41.4786
44.6821,41.4605
44.7159,41.4423
44.7496,41.4241
44.7496,41.4241
44.7833,41.4059
44.8169,41.3877
44.8506,41.3695
44.8506,41.3695
44.8842,41.3513
44.9178,41.3330
44.9514,41.3148
44.9514,41.3148
44.9849,41.2965
45.0185,41.2783
45.0520,41.2600
45.0520,41.2600
45.0855,41.2417
45.1190,41.2234
45.1524,41.2051
45.1524,41.2051
45.1859,41.1867
45.2193,41.1684
45.2527,41.1501
45.2527,41.1501
45.2860,41.1317
45.3194,41.1134
45.3194,41.1134
45.3528,41.0950
45.3861,41.0766
45.4194,41.0582
45.4194,41.0582
45.4526,41.0398
45.4859,41.0214
45.5192,41.0029
45.5192,41.0029
45.5524,40.9845
45.5856,40.9660
45.6190,40.9474
45.6190,40.9474
45.6522,40.9289
45.6854,40.9104
45.7185,40.8919
45.7185,40.8919
45.7516,40.8734
45.7847,40.8549
45.8177,40.8364
45.8177,40.8364
45.8508,40.8179
45.8838,40.7993
45.9168,40.7807
45.9168,40.7807
45.9498,40.7622
45.9828,40.7436
46.0157,40.7250
46.0157,40.7250
46.0487,40.7064
46.0815,40.6878
46.0815,40.6878
46.1145,40.6691
46.1473,40.6505
46.1802,40.6318
46.1802,40.6318
46.2131,40.6132
46.2459,40.5945
46.2787,40.5758
46.2787,40.5758
46.3114,40.5571
46.3442,40.5384
46.3769,40.5197
46.3769,40.5197
46.4096,40.5010
46.4423,40.4823
46.4750,40.4635
46.4750,40.4635
46.5077,40.4448
46.5403,40.4260
46.5729,40.4073
46.5729,40.4073
46.6055,40.3885
46.6381,40.3697
46.6706,40.3509
46.6706,40.3509
46.7031,40.3321
46.7357,40.3133
46.7357,40.3133
46.7682,40.2944
46.8007,40.2756
46.8331,40.2567
46.8331,40.2567
46.8656,40.2378
46.8980,40.2189
46.9304,40.2001
46.9304,40.2001
46.9628,40.1812
46.9952,40.1623
47.0275,40.1433
47.0275,40.1433
47.0598,40.1244
47.0922,40.1055
47.1245,40.0865
